"","diff","lwr","upr","p adj"
"surface water (1-L grab)-stormwater (depth-integrated perisaltic pump)",-1.50689632683359,-3.05500418796216,0.0412115342949786,0.0595014736042992
"surface water (Manta Trawl)-stormwater (depth-integrated perisaltic pump)",-3.79923836749036,-5.3013980406358,-2.29707869434491,6.87964041290456e-09
"wastewater (Composite)-stormwater (depth-integrated perisaltic pump)",-3.78404541666669,-5.56725963989563,-2.00083119343775,1.0965469269264e-06
"surface water (Manta Trawl)-surface water (1-L grab)",-2.29234204065677,-3.25412068255934,-1.3305633987542,4.4462103665488e-08
"wastewater (Composite)-surface water (1-L grab)",-2.2771490898331,-3.63670322201082,-0.917594957655382,0.000156175432595385
"wastewater (Composite)-surface water (Manta Trawl)",0.0151929508236655,-1.29180099417298,1.32218689582031,0.99998997925263
