"","Reference","sampleID","Sample.Type","sample.matrix","sample.matrix.specific","compartment","Sampling.apparatus","min_mesh_size_um","max_mesh_size_um","site","specific.location","latitude","longitude","season","particles.L.blank.corrected","particles.fish.blank.corrected","particles.kg.blank.corrected","alpha.05","alpha.50","alpha.95","rescaling_correction_factor_5thPercentile","rescaling_correction_factor_50thPercentile","rescaling_correction_factor_95thPercentile","fiber_correction_factor_5thPercentile","fiber_correction_factor_50thPercentile","fiber_correction_factor_95thPercentile","plastic_proportion_correction_5thPercentile","plastic_proportion_correction_50thPercentile","plastic_proportion_correction_95thPercentile","combined_correction_factor_5thPercentile","combined_correction_factor_50thPercentile","combined_correction_factor_95thPercentile","particles.L_rescaled_corrected_5thPercentile","particles.L_rescaled_corrected_50thPercentile","particles.L_rescaled_corrected_95thPercentile","particles.fish_rescaled_corrected_5thPercentile","particles.fish_rescaled_corrected_50thPercentile","particles.fish_rescaled_corrected_95thPercentile","particles.kg_rescaled_corrected_5thPercentile","particles.kg_rescaled_corrected_50thPercentile","particles.kg_rescaled_corrected_95thPercentile"
"12","Zhu et. al 2021","19-POC-198-125&355","sample","water","stormwater","marine","depth-integrated perisaltic pump",106,5000,NA,"12M Rep1","37.746843","-122.200699",NA,24.41,NA,NA,1.59636024819848,2.96566911696383,4.31365064850636,17.8266077935256,9578.64410694286,5142299.38148815,NA,NA,NA,NA,NA,NA,17.8266077935256,9578.64410694286,5142299.38148815,435.147496239959,233814.702650475,125523527.902126,NA,NA,NA,NA,NA,NA
"13","Zhu et. al 2021","EBDA Aug 31 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"37.6952","-122.1858","dry",0.0645,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,7.83898445100981,25.3107628224541,57.8618615999816,NA,NA,NA,NA,NA,NA
"14","Zhu et. al 2021","EBDA Sept 26 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"37.6952","-122.1858","dry",0.0115,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,1.39764839049012,4.51277166601895,10.3164559441828,NA,NA,NA,NA,NA,NA
"15","Zhu et. al 2021","EBMUD Aug 22 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"37.8236","-122.2956","dry",0.1778,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,21.6088594634038,69.7713741059278,159.501379728321,NA,NA,NA,NA,NA,NA
"16","Zhu et. al 2021","EBMUD Sept 26 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"37.8236","-122.2956","dry",0.0421,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,5.11660845562036,16.5206684469042,37.7671995869648,NA,NA,NA,NA,NA,NA
"17","Zhu et. al 2021","PA Aug 1 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"37.4527","-122.1108","dry",0.003,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,0.364603927953945,1.17724478243973,2.69124937674333,NA,NA,NA,NA,NA,NA
"18","Zhu et. al 2021","PA July 20 2017 A","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"37.4527","-122.1108",NA,0.0054,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,0.656287070317101,2.11904060839151,4.844248878138,NA,NA,NA,NA,NA,NA
"19","Zhu et. al 2021","SJ Aug 10 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"37.4332","-121.9522","dry",0.0186,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,2.26054435331446,7.2989176511263,16.6857461358087,NA,NA,NA,NA,NA,NA
"20","Zhu et. al 2021","SJ Sept 19 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"37.4332","-121.9522","dry",0.0233,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,2.83175717377564,9.14326781028187,20.9020368260399,NA,NA,NA,NA,NA,NA
"21","Zhu et. al 2021","SUNN Sept 19 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"37.4193","-122.0162","dry",0.0222,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,2.69806906685919,8.71161139005397,19.9152453879007,NA,NA,NA,NA,NA,NA
