"","matrix","x1M","alpha.05","alpha.50","alpha.95","CF.05","CF.50","CF.95","plastic.proportion.05","plastic.proportion.50","plastic.proportion.95","fiber.proportion.05","fiber.proportion.50","fiber.proportion.95","combined.05","combined.50","combined.95"
"1","fish",25,2.52480475849869,2.58989370403427,2.65565915131213,135.431360187398,166.982447845586,206.337970576676,0.0899005465929372,0.223886276120135,0.464740018277105,NA,NA,NA,14.5925721026027,37.1104735146511,79.990248103894
"2","grab",50,2.02220567817734,2.0703057820402,2.11846189938028,55.0254341925861,66.3014257719936,79.9329310452004,0.185637616344537,0.398388989971025,0.713107174870668,NA,NA,NA,11.9870872277477,26.3537811397892,48.503426127729
"3","manta",333,2.02220567817734,2.0703057820402,2.11846189938028,404.121291443363,530.066197380935,696.199693657283,0.31187453220682,0.640380513938229,0.94912875670151,1.21660731872919,8.83698835199381,49.7603931008749,344.334618690858,2822.84967261303,17273.1202448312
"4","sediment",45,2.2409732623872,2.57041460862768,2.90338227402135,112.937814560123,394.906809082199,1402.00903846046,0.165617016015448,0.335736531291539,0.684852552593801,NA,NA,NA,31.7061904331392,132.093343619821,559.359242379544
"5","stormwater",106,1.58441127658569,2.96759683705654,4.35342939678173,16.9382279802553,9665.11018118389,6190436.68986638,NA,NA,NA,NA,NA,NA,16.9382279802553,9665.11018118389,6190436.68986638
"6","wastewater",110,2.52360871071741,2.54000400046832,2.55652625467583,1292.9438146211,1396.27263037926,1508.77403746702,0.0855463961590072,0.27862414731796,0.626543744777611,NA,NA,NA,118.75789765909,388.628483425614,880.952641484691
