"","diff","lwr","upr","p adj"
"surface water (1-L grab)-stormwater (depth-integrated perisaltic pump)",-77733.2084651465,-95177.885802108,-60288.5311281849,1.765254609154e-14
"surface water (Manta Trawl)-stormwater (depth-integrated perisaltic pump)",-77861.9035119754,-94788.8189192228,-60934.988104728,1.23234755733392e-14
"wastewater (Composite)-stormwater (depth-integrated perisaltic pump)",-77843.7635863234,-97937.710221432,-57749.8169512149,4.29656310529936e-14
"surface water (Manta Trawl)-surface water (1-L grab)",-128.695046828887,-10966.3882714731,10708.9981778153,0.999989317750345
"wastewater (Composite)-surface water (1-L grab)",-110.555121176967,-15430.5362113082,15209.4259689542,0.999997601993847
"wastewater (Composite)-surface water (Manta Trawl)",18.1399256519198,-14709.5726739131,14745.852525217,0.999999988075336
