"","diff","lwr","upr","p adj"
"surface water (1-L grab)-stormwater (depth-integrated perisaltic pump)",-2281.75092653623,-2958.66819559429,-1604.83365747817,1.13686837721616e-13
"surface water (Manta Trawl)-stormwater (depth-integrated perisaltic pump)",-2731.46883081737,-3388.295043749,-2074.64261788573,3.34177130412172e-14
"wastewater (Composite)-stormwater (depth-integrated perisaltic pump)",-2725.4262906961,-3505.14489586723,-1945.70768552497,5.7065463465733e-14
"surface water (Manta Trawl)-surface water (1-L grab)",-449.717904281131,-870.260030616211,-29.1757779460519,0.031097817159867
"wastewater (Composite)-surface water (1-L grab)",-443.675364159868,-1038.14664965508,150.795921335345,0.215381655188161
"wastewater (Composite)-surface water (Manta Trawl)",6.04254012126307,-565.446562245018,577.531642487544,0.999992458537048
