"","sampleID","specific.location","System","Sampling.location","latitude","longitude","particles.L.blank.corrected","particles.fish.blank.corrected","particles.kg.blank.corrected","sample.matrix","sample.matrix.specific","Sampling.apparatus","x1M","x2M","Sample.Type","season","locationNew","matrix","locationMatrix","proportion","proportion.upper95","proportion.lower95","proportion.sd","proportion.n","unaligned.particle.L.master","particles.fish.blank.corrected.particle.corrected","particles.kg.blank.corrected.particle.corrected","particles.L.blank.corrected.particle.corrected.upper95","particles.L.blank.corrected.particle.corrected.lower95","particles.L.blank.corrected.particle.corrected.sd","CF","particle.L.master","particle.fish.master","particles.kg.master","source","Reference","compartment","Conc","alpha","alpha.se","alpha.n","alpha.upper.68","alpha.lower.68","alpha.upper.95","alpha.lower.95","alpha.upper.99","alpha.lower.99","alpha.sd","CF.upper.68","CF.upper.95","CF.upper.99","CF.lower.68","CF.lower.95","CF.lower.99","CF.sd","conc.upper.68","conc.upper.95","conc.upper.99","conc.lower.68","conc.lower.95","conc.lower.99","conc.alignment.sd"
"11","20180108MMPStormCBEmery125&355","MMP-Storm-CB-Emery","Estuary",NA,"37.83429","-122.29349",12.36,NA,NA,"water","stormwater","24-hr pipe",106,5000,"sample",NA,"general","Storm","general Storm",0.4675,NA,NA,NA,NA,5.7783,NA,NA,NA,NA,NA,59.8715118892573,345.955557149695,NA,NA,"SFEI","Zhu et. al 2021","marine",345.955557149695,1.87,0.13,22,2,1.74,2.1248,1.6152,2.26,1.48,0.468721665810319,108.274213322436,192.204442993747,359.144751492898,33.4010598775694,19.3306066478916,10.9424172055394,1.13575487193544,NA,NA,NA,NA,NA,NA,NA
"12","19-POC-198-125&355","12M Rep1","Estuary",NA,"37.746843","-122.200699",24.41,NA,NA,"water","stormwater","24-hr pipe",106,5000,"sample",NA,"general","Storm","general Storm",0.4675,NA,NA,NA,NA,11.411675,NA,NA,NA,NA,NA,59.8715118892573,683.23423543884,NA,NA,"SFEI","Zhu et. al 2021","marine",683.23423543884,1.87,0.13,22,2,1.74,2.1248,1.6152,2.26,1.48,0.468721665810319,108.274213322436,192.204442993747,359.144751492898,33.4010598775694,19.3306066478916,10.9424172055394,1.13575487193544,NA,NA,NA,NA,NA,NA,NA
"13","EBDA Aug 31 2017",NA,"Estuary",NA,"37.6952","-122.1858",0.0645,NA,NA,"water","wastewater","Composite",110,5000,"sample","dry","general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.018275,NA,NA,NA,NA,NA,17.0277005793572,0.311181228087753,NA,NA,"SFEI","Zhu et. al 2021","marine",0.311181228087753,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"14","EBDA Sept 26 2017",NA,"Estuary",NA,"37.6952","-122.1858",0.0115,NA,NA,"water","wastewater","Composite",110,5000,"sample","dry","general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.00325833333333333,NA,NA,NA,NA,NA,17.0277005793572,0.0554819243877389,NA,NA,"SFEI","Zhu et. al 2021","marine",0.0554819243877389,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"15","EBMUD Aug 22 2017",NA,"Estuary",NA,"37.8236","-122.2956",0.1778,NA,NA,"water","wastewater","Composite",110,5000,"sample","dry","general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.0503766666666666,NA,NA,NA,NA,NA,17.0277005793572,0.857798796186085,NA,NA,"SFEI","Zhu et. al 2021","marine",0.857798796186085,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"16","EBMUD Sept 26 2017",NA,"Estuary",NA,"37.8236","-122.2956",0.0421,NA,NA,"water","wastewater","Composite",110,5000,"sample","dry","general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.0119283333333333,NA,NA,NA,NA,NA,17.0277005793572,0.203112088410766,NA,NA,"SFEI","Zhu et. al 2021","marine",0.203112088410766,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"17","PA Aug 1 2017",NA,"Estuary",NA,"37.4527","-122.1108",0.003,NA,NA,"water","wastewater","Composite",110,5000,"sample","dry","general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.000849999999999999,NA,NA,NA,NA,NA,17.0277005793572,0.0144735454924536,NA,NA,"SFEI","Zhu et. al 2021","marine",0.0144735454924536,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"18","PA July 20 2017 A",NA,"Estuary",NA,"37.4527","-122.1108",0.0054,NA,NA,"water","wastewater","Composite",110,5000,"sample",NA,"general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.00153,NA,NA,NA,NA,NA,17.0277005793572,0.0260523818864165,NA,NA,"SFEI","Zhu et. al 2021","marine",0.0260523818864165,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"19","SJ Aug 10 2017",NA,"Estuary",NA,"37.4332","-121.9522",0.0186,NA,NA,"water","wastewater","Composite",110,5000,"sample","dry","general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.00526999999999999,NA,NA,NA,NA,NA,17.0277005793572,0.0897359820532125,NA,NA,"SFEI","Zhu et. al 2021","marine",0.0897359820532125,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"20","SJ Sept 19 2017",NA,"Estuary",NA,"37.4332","-121.9522",0.0233,NA,NA,"water","wastewater","Composite",110,5000,"sample","dry","general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.00660166666666666,NA,NA,NA,NA,NA,17.0277005793572,0.112411203324723,NA,NA,"SFEI","Zhu et. al 2021","marine",0.112411203324723,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"21","SUNN Sept 19 2017",NA,"Estuary",NA,"37.4193","-122.0162",0.0222,NA,NA,"water","wastewater","Composite",110,5000,"sample","dry","general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.00628999999999999,NA,NA,NA,NA,NA,17.0277005793572,0.107104236644157,NA,NA,"SFEI","Zhu et. al 2021","marine",0.107104236644157,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"22","CCCSD Sept 7 2017",NA,"Estuary",NA,"37.9961","-122.0686",0.0778,NA,NA,"water","wastewater","Composite",110,5000,"sample","dry","general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.0220433333333333,NA,NA,NA,NA,NA,17.0277005793572,0.375347279770964,NA,NA,"SFEI","Zhu et. al 2021","marine",0.375347279770964,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"23","FSSD Aug 23 2017",NA,"Estuary",NA,"38.2233","-122.0829",0.0037,NA,NA,"water","wastewater","Composite",110,5000,"sample","dry","general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.00104833333333333,NA,NA,NA,NA,NA,17.0277005793572,0.0178507061073595,NA,NA,"SFEI","Zhu et. al 2021","marine",0.0178507061073595,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"24","FSSD Sept 7 2017",NA,"Estuary",NA,"38.2233","-122.0829",0.0055,NA,NA,"water","wastewater","Composite",110,5000,"sample","dry","general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.00155833333333333,NA,NA,NA,NA,NA,17.0277005793572,0.0265348334028316,NA,NA,"SFEI","Zhu et. al 2021","marine",0.0265348334028316,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"25","EBMUD Oct 20 2017",NA,"Estuary",NA,"37.8236","-122.2956",0.1083,NA,NA,"water","wastewater","Composite",110,5000,"sample",NA,"general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.030685,NA,NA,NA,NA,NA,17.0277005793572,0.522494992277576,NA,NA,"SFEI","Zhu et. al 2021","marine",0.522494992277576,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"26","SFPUC Nov 6 2017",NA,"Estuary",NA,"37.7476","-122.3728",0.1593,NA,NA,"water","wastewater","Composite",110,5000,"sample","wet","general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.0451349999999999,NA,NA,NA,NA,NA,17.0277005793572,0.768545265649288,NA,NA,"SFEI","Zhu et. al 2021","marine",0.768545265649288,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"27","SFPUC Nov 7 2017",NA,"Estuary",NA,"37.7476","-122.3728",0.1816,NA,NA,"water","wastewater","Composite",110,5000,"sample","wet","general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.0514533333333333,NA,NA,NA,NA,NA,17.0277005793572,0.87613195380986,NA,NA,"SFEI","Zhu et. al 2021","marine",0.87613195380986,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"28","SUNN Oct 17 2017",NA,"Estuary",NA,"37.4193","-122.0162",0.0075,NA,NA,"water","wastewater","Composite",110,5000,"sample",NA,"general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.002125,NA,NA,NA,NA,NA,17.0277005793572,0.0361838637311341,NA,NA,"SFEI","Zhu et. al 2021","marine",0.0361838637311341,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"29","CCCSD Dec 6 2017",NA,"Estuary",NA,"37.9961","-122.0686",0.0683,NA,NA,"water","wastewater","Composite",110,5000,"sample","wet","general","WWTP","general WWTP",0.283333333333333,NA,NA,NA,NA,0.0193516666666666,NA,NA,NA,NA,NA,17.0277005793572,0.329514385711528,NA,NA,"SFEI","Zhu et. al 2021","marine",0.329514385711528,1.58,0.11,20,1.69,1.47,1.7956,1.3644,1.91,1.25,0.396610640301039,27.5239965493047,44.1569410183734,74.3300375770898,10.7263216294403,7.05060539869135,4.6406499233778,1.10455076983991,NA,NA,NA,NA,NA,NA,NA
"30","AN LSB06_1",NA,"Estuary","Lower South Bay","37.4576","-122.0921",NA,24.27,NA,"fish","anchovy","otter trawl/cast net",25,5000,"sample",NA,"Lower South Bay","Fish","Lower South Bay Fish",0.15,NA,NA,NA,NA,NA,3.6405,NA,NA,NA,NA,11.375429244035,NA,41.4122501629095,NA,"SFEI","Zhu et. al 2021","marine",NA,1.75,0.17,15,1.92,1.58,2.0832,1.4168,2.26,1.24,0.612943716828878,19.465408556552,32.7797371638375,57.8020045056761,6.73389445547325,4.17403666800038,2.61924882665939,1.10515869980843,70.8638198501275,119.33463314495,210.428197402914,24.5147427651504,15.1955804898554,9.53537535345352,4.02333024665258
"31","AN LSB06_2",NA,"Estuary","Lower South Bay","37.4576","-122.0921",NA,6.6,NA,"fish","anchovy","otter trawl/cast net",25,5000,"sample",NA,"Lower South Bay","Fish","Lower South Bay Fish",0.15,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,11.375429244035,NA,11.2616749515947,NA,"SFEI","Zhu et. al 2021","marine",NA,1.75,0.17,15,1.92,1.58,2.0832,1.4168,2.26,1.24,0.612943716828878,19.465408556552,32.7797371638375,57.8020045056761,6.73389445547325,4.17403666800038,2.61924882665939,1.10515869980843,19.2707544709865,32.4519397921991,57.2239844606193,6.66655551091852,4.13229630132038,2.5930563383928,1.09410711281034
"32","AN LSB06_4",NA,"Estuary","Lower South Bay","37.4576","-122.0921",NA,0.87,NA,"fish","anchovy","otter trawl/cast net",25,5000,"sample",NA,"Lower South Bay","Fish","Lower South Bay Fish",0.15,NA,NA,NA,NA,NA,0.1305,NA,NA,NA,NA,11.375429244035,NA,1.48449351634657,NA,"SFEI","Zhu et. al 2021","marine",NA,1.75,0.17,15,1.92,1.58,2.0832,1.4168,2.26,1.24,0.612943716828878,19.465408556552,32.7797371638375,57.8020045056761,6.73389445547325,4.17403666800038,2.61924882665939,1.10515869980843,2.54023581663003,4.27775569988079,7.54316158799073,0.878773226439259,0.54471178517405,0.341811971879051,0.144223210325
