"","matrix","plastic.proportion.05","plastic.proportion.50","plastic.proportion.95"
"1","fish",0.0899005465929372,0.223886276120135,0.464740018277105
"2","grab",0.185637616344537,0.398388989971025,0.713107174870668
"3","sediment",0.165617016015448,0.335736531291539,0.684852552593801
"4","wastewater",0.0855463961590072,0.27862414731796,0.626543744777611
