"","Reference","sampleID","sample.matrix","sample.matrix.specific","compartment","Sampling.apparatus","Sample.Type","site","specific.location","latitude","longitude","season","particles.L.blank.corrected","particles.fish.blank.corrected","particles.kg.blank.corrected","fiber.correction.factor","plastic_proportion_correction","min_mesh_size_um","max_mesh_size_um","alpha","alpha.sd","rescaling_correction_factor","particles.L_rescaled_corrected_5thPercentile","particles.L_rescaled_corrected_50thPercentile","particles.L_rescaled_corrected_95thPercentile","particles.L_rescaled_corrected_deterministic","particle.fish.master","particles.kg.master"
"223","Zhu et. al 2021","GFNMS26 Mar 29","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.82","-123.02","wet",7.9e-05,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0124670474010478,0.146636929821918,1.52522974531669,0.146636929821918,NA,NA
"224","Zhu et. al 2021","GFNMS26 Sept 12","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.82","-123.01","dry",0.000139,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0219356909967802,0.25800674993983,2.68363208353189,0.25800674993983,NA,NA
"225","Zhu et. al 2021","GFNMS27 March 29","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.75","-123.26","wet",7.8e-05,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0123092366744522,0.144780766153286,1.50592303967977,0.144780766153286,NA,NA
"226","Zhu et. al 2021","GFNMS27 Sept 13","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.73","-123.26","dry",5e-06,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.000789053632977706,0.00928081834315936,0.0965335281846004,0.00928081834315936,NA,NA
"227","Zhu et. al 2021","GFNMS28 Mar 30","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.81","-122.76","wet",9.6e-05,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.015149829753172,0.17819171218866,1.85344374114433,0.17819171218866,NA,NA
"228","Zhu et. al 2021","GFNMS28 DUP Sept 13","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.81","-122.76","dry",5.6e-05,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.00883740068935031,0.103945165443385,1.08117551566752,0.103945165443385,NA,NA
"229","Zhu et. al 2021","LSB14 Aug 24","water","surface water","marine","Manta Trawl","sample","Lower South Bay",NA,"37.47","-122.06","dry",0.000982,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.154970133516821,1.8227527225965,18.9591849354555,1.8227527225965,NA,NA
"230","Zhu et. al 2021","LSB14 Mar 6","water","surface water","marine","Manta Trawl","sample","Lower South Bay",NA,"37.48","-122.08","wet",0.000266,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.041977653274414,0.493739535856078,5.13558369942074,0.493739535856078,NA,NA
"231","Zhu et. al 2021","LSB15 Aug 24","water","surface water","marine","Manta Trawl","sample","Lower South Bay",NA,"37.46","-122.08","dry",0.000357,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0563384293946082,0.662650429701578,6.89249391238047,0.662650429701578,NA,NA
"232","Zhu et. al 2021","LSB15 Mar 6","water","surface water","marine","Manta Trawl","sample","Lower South Bay",NA,"37.47","-122.09","wet",0.000248,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0391370601956942,0.460328589820704,4.78806299795618,0.460328589820704,NA,NA
"233","Zhu et. al 2021","LSB16 Aug 24","water","surface water","marine","Manta Trawl","sample","Lower South Bay",NA,"37.46","-122.03","dry",0.000153,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0241450411691178,0.283993041300676,2.95392596244877,0.283993041300676,NA,NA
"234","Zhu et. al 2021","LSB16 Mar 6","water","surface water","marine","Manta Trawl","sample","Lower South Bay",NA,"37.45","-122.03","wet",0.000516,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0814303349232992,0.957780453014046,9.96226010865076,0.957780453014046,NA,NA
"235","Zhu et. al 2021","MBNMS29 Jan 11 2018","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.81","-122.47","wet",0.000396,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0624930477318343,0.735040812778221,7.64545543222035,0.735040812778221,NA,NA
"236","Zhu et. al 2021","MBNMS29 Mar 30","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.79","-122.5","wet",0.000294,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0463963536190891,0.54571211857777,5.6761714572545,0.54571211857777,NA,NA
"237","Zhu et. al 2021","MBNMS29 Nov 17 2017","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.8","-122.5","wet",0.000273,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0430823283605827,0.506732681536501,5.27073063887918,0.506732681536501,NA,NA
"238","Zhu et. al 2021","MBNMS29 Sept 13","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.81","-122.51","dry",1.9e-05,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.00299840380531528,0.0352671097040056,0.366827407101481,0.0352671097040056,NA,NA
"239","Zhu et. al 2021","MBNMS30 Mar 31","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.67","-122.61","wet",3.8e-05,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.00599680761063057,0.0705342194080111,0.733654814202963,0.0705342194080111,NA,NA
"240","Zhu et. al 2021","MBNMS30 Sept 27","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.67","-122.61","dry",6.8e-05,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0107311294084968,0.126219129466967,1.31285598331057,0.126219129466967,NA,NA
"241","Zhu et. al 2021","MBNMS31 Mar 31","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.51","-122.57","wet",5.4e-05,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.00852177923615922,0.100232838106121,1.04256210439368,0.100232838106121,NA,NA
"242","Zhu et. al 2021","MBNMS31 Sept 27","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.51","-122.58","dry",3.8e-05,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.00599680761063057,0.0705342194080111,0.733654814202963,0.0705342194080111,NA,NA
"243","Zhu et. al 2021","MBNMS32 Mar 31","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.44","-122.93","wet",6.8e-05,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0107311294084968,0.126219129466967,1.31285598331057,0.126219129466967,NA,NA
"244","Zhu et. al 2021","MBNMS32 Sept 27","water","surface water","marine","Manta Trawl","sample","National Marine Sanctuary",NA,"37.45","-122.93","dry",2.4e-05,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.00378745743829299,0.0445479280471649,0.463360935286082,0.0445479280471649,NA,NA
"245","Zhu et. al 2021","SB10 Aug 23","water","surface water","marine","Manta Trawl","sample","South Bay",NA,"37.65","-122.24","dry",0.000112,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0176748013787006,0.20789033088677,2.16235103133505,0.20789033088677,NA,NA
"246","Zhu et. al 2021","SB10 Mar 19","water","surface water","marine","Manta Trawl","sample","South Bay",NA,"37.65","-122.23","wet",0.000236,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0372433314765477,0.438054625797122,4.55638253031314,0.438054625797122,NA,NA
"247","Zhu et. al 2021","SB11 Aug 23","water","surface water","marine","Manta Trawl","sample","South Bay",NA,"37.6","-122.25","dry",0.000181,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.028563741513793,0.335965624022369,3.49451372028253,0.335965624022369,NA,NA
"248","Zhu et. al 2021","SB11 Mar 19","water","surface water","marine","Manta Trawl","sample","South Bay",NA,"37.59","-122.2","wet",0.002605,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.411096942781385,4.83530635678603,50.2939681841768,4.83530635678603,NA,NA
"249","Zhu et. al 2021","SB12 Aug 23","water","surface water","marine","Manta Trawl","sample","South Bay",NA,"37.59","-122.28","dry",0.000128,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0201997730042293,0.23758894958488,2.47125832152577,0.23758894958488,NA,NA
"250","Zhu et. al 2021","SB12 Mar 19","water","surface water","marine","Manta Trawl","sample","South Bay",NA,"37.58","-122.27","wet",0.000488,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0770116345786241,0.905807870292353,9.421672350817,0.905807870292353,NA,NA
"251","Zhu et. al 2021","SB13 Aug 23","water","surface water","marine","Manta Trawl","sample","South Bay",NA,"37.57","-122.21","dry",0.002899,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.457493296400474,5.3810184753638,55.9701396414313,5.3810184753638,NA,NA
"252","Zhu et. al 2021","SB13 Mar 19","water","surface water","marine","Manta Trawl","sample","South Bay",NA,"37.56","-122.22","wet",0.001384,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.218410045608229,2.56893051738651,26.7204806014974,2.56893051738651,NA,NA
"253","Zhu et. al 2021","SF Bay Treasure Island Sept 18","water","surface water","marine","Manta Trawl","sample","Central Bay",NA,"37.82","-122.36","dry",0.000426,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0672273695297005,0.790725722837177,8.22465660132795,0.790725722837177,NA,NA
"254","Zhu et. al 2021","SPB2 Aug 21 2017","water","surface water","marine","Manta Trawl","sample","San Pablo Bay",NA,"38.05","-122.42","dry",5.9e-05,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.00931083286913693,0.10951365644928,1.13909563257828,0.10951365644928,NA,NA
"255","Zhu et. al 2021","SPB2 Nov 16","water","surface water","marine","Manta Trawl","sample","San Pablo Bay",NA,"38.06","-122.42","wet",9.2e-05,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0145185868467898,0.170767057514132,1.77621691859665,0.170767057514132,NA,NA
"256","Zhu et. al 2021","SPB3 Aug 21","water","surface water","marine","Manta Trawl","sample","San Pablo Bay",NA,"38.64","-122.37","dry",0.000637,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.10052543284136,1.1823762569185,12.2983714907181,1.1823762569185,NA,NA
"257","Zhu et. al 2021","SPB3 Nov 17","water","surface water","marine","Manta Trawl","sample","San Pablo Bay",NA,"38.02","-122.37","wet",0.001409,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.222355313773118,2.61533460910231,27.2031482424204,2.61533460910231,NA,NA
"258","Zhu et. al 2021","SUB1 Aug 21","water","surface water","marine","Manta Trawl","sample","Suisin Bay",NA,"38.11","-122.06","dry",8.1e-05,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0127826688542388,0.150349257159182,1.56384315659053,0.150349257159182,NA,NA
"259","Zhu et. al 2021","SUB1 Nov 17","water","surface water","marine","Manta Trawl","sample","Suisin Bay",NA,"38.11","-122.06","wet",0.000131,NA,NA,4.59839908376001,0.732126254706782,333,5000,2,0.15,356.68887936576,0.0206732051840159,0.243157440590775,2.52917843843653,0.243157440590775,NA,NA
"260","Zhu et. al 2021","CB4 Aug 21 grab","water","surface water","marine","1-L grab","sample","Central Bay",NA,"37.9156 ","-122.4412 ","dry",3.465346535,NA,NA,1,0.62,50,5000,2,0.15,50.4949494949495,NA,174.982498267323,NA,174.982498267323,NA,NA
"261","Zhu et. al 2021","CB4 Nov 22 grab","water","surface water","marine","1-L grab","sample","Central Bay",NA,"37.9229 ","-122.4330 ","wet",2.734877735,NA,NA,1,0.62,50,5000,2,0.15,50.4949494949495,NA,138.097513103687,NA,138.097513103687,NA,NA
"262","Zhu et. al 2021","CB5 Aug 22 grab","water","surface water","marine","1-L grab","sample","Central Bay",NA,"37.8430 ","-122.4150 ","dry",7.433102081,NA,NA,1,0.62,50,5000,2,0.15,50.4949494949495,NA,375.334114170899,NA,375.334114170899,NA,NA
"263","Zhu et. al 2021","CB5 Nov 22 grab","water","surface water","marine","1-L grab","sample","Central Bay",NA,"37.8445 ","-122.4069 ","wet",0.62774639,NA,NA,1,0.62,50,5000,2,0.15,50.4949494949495,NA,31.6980222586869,NA,31.6980222586869,NA,NA
"264","Zhu et. al 2021","CB6 Aug 22 grab","water","surface water","marine","1-L grab","sample","Central Bay",NA,"37.8342 ","-122.3204 ","dry",1.95095948827292,NA,NA,1,0.62,50,5000,2,0.15,50.4949494949495,NA,98.5136008270337,NA,98.5136008270337,NA,NA
"265","Zhu et. al 2021","CB6 Nov 22 grab","water","surface water","marine","1-L grab","sample","Central Bay",NA,"37.8339 ","-122.3221 ","wet",4.984423676,NA,NA,1,0.62,50,5000,2,0.15,50.4949494949495,NA,251.68822178105,NA,251.68822178105,NA,NA
"266","Zhu et. al 2021","CB7 Aug 22 grab","water","surface water","marine","1-L grab","sample","Central Bay",NA,"N/A ","N/A ","dry",2.32510729613734,NA,NA,1,0.62,50,5000,2,0.15,50.4949494949495,NA,117.406175488793,NA,117.406175488793,NA,NA
"267","Zhu et. al 2021","CB7 Nov 22 grab","water","surface water","marine","1-L grab","sample","Central Bay",NA,"37.7795 ","-122.3537 ","wet",1.582779361,NA,NA,1,0.62,50,5000,2,0.15,50.4949494949495,NA,79.9223638953434,NA,79.9223638953434,NA,NA
"268","Zhu et. al 2021","CB8 Aug 22 grab","water","surface water","marine","1-L grab","sample","Central Bay",NA,"37.7514 ","-122.2260 ","dry",2.703562341,NA,NA,1,0.62,50,5000,2,0.15,50.4949494949495,NA,136.516243865242,NA,136.516243865242,NA,NA
"269","Zhu et. al 2021","CB8 Jan 11 grab","water","surface water","marine","1-L grab","sample","Central Bay",NA,"37.7505 ","-122.2278 ","wet",2.551020408,NA,NA,1,0.62,50,5000,2,0.15,50.4949494949495,NA,128.813646662545,NA,128.813646662545,NA,NA
"270","Zhu et. al 2021","CB9 Aug 22 grab","water","surface water","marine","1-L grab","sample","Central Bay",NA,"37.6872 ","-122.2909 ","dry",6.578947368,NA,NA,1,0.62,50,5000,2,0.15,50.4949494949495,NA,332.203615077091,NA,332.203615077091,NA,NA
"271","Zhu et. al 2021","CB9 Jan 22 grab","water","surface water","marine","1-L grab","sample","Central Bay",NA,"37.6936 ","-122.2991 ","wet",18.71101871,NA,NA,1,0.62,50,5000,2,0.15,50.4949494949495,NA,944.811944760505,NA,944.811944760505,NA,NA
"272","Zhu et. al 2021","CBNMS22 Sept 12 grab","water","surface water","marine","1-L grab","sample","Central Bay",NA,"38.1068 ","-123.1138 ","dry",3,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,151.484848484848,NA,151.484848484848,NA,NA
"273","Zhu et. al 2021","CBNMS23 Sep 22 grab","water","surface water","marine","1-L grab","sample","Central Bay",NA,"38.0346 ","-123.3131 ","dry",1.640419948,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,82.8329224247677,NA,82.8329224247677,NA,NA
"274","Zhu et. al 2021","CBNMS24 Sep 22 grab","water","surface water","marine","1-L grab","sample","Central Bay",NA,"37.9853 ","-123.4973 ","dry",8.671522719,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,437.868101740212,NA,437.868101740212,NA,NA
"275","Zhu et. al 2021","GFNMS/MBNMS29 Jan 22 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.8128 ","-122.4723 ","wet",0.652315721135029,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,32.9386493934749,NA,32.9386493934749,NA,NA
"276","Zhu et. al 2021","GFNMS25 Mar 22 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.9670 ","-122.9272 ","wet",0,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,0,NA,0,NA,NA
"277","Zhu et. al 2021","GFNMS25 Sept 11 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.9695 ","-122.9270 ","dry",1.811594203,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,91.4763577858283,NA,91.4763577858283,NA,NA
"278","Zhu et. al 2021","GFNMS26 Sept 12 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.8213 ","-123.0068 ","dry",0.709574468085106,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,35.8299269288631,NA,35.8299269288631,NA,NA
"279","Zhu et. al 2021","GFNMS27 Sep 22 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.7327 ","-123.2630 ","dry",1.262626263,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,63.7562493811818,NA,63.7562493811818,NA,NA
"280","Zhu et. al 2021","GFNMS28 (DUP for Manta) Sep 22 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.8058 ","-122.7561 ","dry",3.664754621,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,185.051599498778,NA,185.051599498778,NA,NA
"281","Zhu et. al 2021","LSB14 Mar 22 grab","water","surface water","marine","1-L grab","sample","Lower South Bay",NA,"37.4801 ","-122.0781 ","wet",3.0984996741683,NA,NA,1,0.72,50,5000,2,0.15,50.4949494949495,NA,156.458584557246,NA,156.458584557246,NA,NA
"282","Zhu et. al 2021","LSB15 (corrected from LSB14 to LSB15) Mar 22 grab","water","surface water","marine","1-L grab","sample","Lower South Bay",NA,"37.4654 ","-122.0912 ","wet",1.279590531,NA,NA,1,0.72,50,5000,2,0.15,50.4949494949495,NA,64.6128592370606,NA,64.6128592370606,NA,NA
"283","Zhu et. al 2021","LSB16 Aug 22 grab","water","surface water","marine","1-L grab","sample","Lower South Bay",NA,"37.4528 ","-122.0331 ","dry",7.619047619,NA,NA,1,0.72,50,5000,2,0.15,50.4949494949495,NA,384.72342472102,NA,384.72342472102,NA,NA
"284","Zhu et. al 2021","LSB16 Mar 22 grab","water","surface water","marine","1-L grab","sample","Lower South Bay",NA,"37.4645 ","-122.0271 ","wet",2.412280702,NA,NA,1,0.72,50,5000,2,0.15,50.4949494949495,NA,121.807992215131,NA,121.807992215131,NA,NA
"285","Zhu et. al 2021","MBNMS26 (GFNMS26 on bottle) Mar 22 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.8208 ","-123.0177 ","wet",13.57323232,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,685.379680481616,NA,685.379680481616,NA,NA
"286","Zhu et. al 2021","MBNMS28 (GFNMS28?) Mar 22 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.8064 ","-122.7583 ","wet",2.38322211630124,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,120.340680397878,NA,120.340680397878,NA,NA
"287","Zhu et. al 2021","MBNMS29 Mar 30 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.8053 ","-122.5082 ","wet",0.943396226,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,47.636744785596,NA,47.636744785596,NA,NA
"288","Zhu et. al 2021","MBNMS29 Nov 22 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.7985 ","-122.5049 ","wet",35.70314936,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,1802.82872374384,NA,1802.82872374384,NA,NA
"289","Zhu et. al 2021","MBNMS29 Sept 13 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.7935 ","-122.5030 ","dry",2.25259875259875,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,113.74486024486,NA,113.74486024486,NA,NA
"290","Zhu et. al 2021","MBNMS30 Mar 30 (Mar 31 for Manta) grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.6726 ","-122.6108 ","wet",2.20226843100189,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,111.203433197762,NA,111.203433197762,NA,NA
"291","Zhu et. al 2021","MBNMS30 Sep 22 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.6718 ","-122.6110 ","dry",1.605651895,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,81.077311344495,NA,81.077311344495,NA,NA
"292","Zhu et. al 2021","MBNMS31 Mar 22 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.5070 ","-122.5804 ","wet",4.26944971537002,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,215.585647748836,NA,215.585647748836,NA,NA
"293","Zhu et. al 2021","MBNMS31 Sep 22 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"N/A ","N/A ","dry",3.502069405,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,176.836817733283,NA,176.836817733283,NA,NA
"294","Zhu et. al 2021","MBNMS32 Mar 22 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.4504 ","-122.9320 ","wet",18.76590331,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,947.583339865555,NA,947.583339865555,NA,NA
"295","Zhu et. al 2021","MBNMS32 Sep 22 grab","water","surface water","marine","1-L grab","sample","National Marine Sanctuary",NA,"37.4446 ","-122.9280 ","dry",6.298449612,NA,NA,1,0.34,50,5000,2,0.15,50.4949494949495,NA,318.039895054424,NA,318.039895054424,NA,NA
"296","Zhu et. al 2021","SB10 Aug 22 grab","water","surface water","marine","1-L grab","sample","South Bay",NA,"37.6534 ","-122.2281 ","dry",0.998003992015968,NA,NA,1,0.45,50,5000,2,0.15,50.4949494949495,NA,50.3941611726043,NA,50.3941611726043,NA,NA
"297","Zhu et. al 2021","SB10 Mar 22 grab","water","surface water","marine","1-L grab","sample","South Bay",NA,"37.6500 ","-122.2433 ","wet",6.144393241,NA,NA,1,0.45,50,5000,2,0.15,50.4949494949495,NA,310.260826381404,NA,310.260826381404,NA,NA
"298","Zhu et. al 2021","SB11 Aug 22 grab","water","surface water","marine","1-L grab","sample","South Bay",NA,"37.5863 ","-122.2022 ","dry",3.346080306,NA,NA,1,0.45,50,5000,2,0.15,50.4949494949495,NA,168.960156057515,NA,168.960156057515,NA,NA
"299","Zhu et. al 2021","SB11 Mar 22 grab","water","surface water","marine","1-L grab","sample","South Bay",NA,"37.5983 ","-122.2502 ","wet",1.59574468085106,NA,NA,1,0.45,50,5000,2,0.15,50.4949494949495,NA,80.5770470664088,NA,80.5770470664088,NA,NA
"300","Zhu et. al 2021","SB12 Mar 19 grab","water","surface water","marine","1-L grab","sample","South Bay",NA,"37.5829 ","-122.2708 ","wet",2.666666667,NA,NA,1,0.45,50,5000,2,0.15,50.4949494949495,NA,134.65319867003,NA,134.65319867003,NA,NA
"301","Zhu et. al 2021","SB13 Aug 23 grab","water","surface water","marine","1-L grab","sample","South Bay",NA,"37.5649 ","-122.2227 ","dry",4.33839479392625,NA,NA,1,0.45,50,5000,2,0.15,50.4949494949495,NA,219.067026008458,NA,219.067026008458,NA,NA
"302","Zhu et. al 2021","SB13 Mar 22 grab","water","surface water","marine","1-L grab","sample","South Bay",NA,"37.5701 ","-122.2129 ","wet",9.931383171,NA,NA,1,0.45,50,5000,2,0.15,50.4949494949495,NA,501.484691634636,NA,501.484691634636,NA,NA
"303","Zhu et. al 2021","SPB2 Aug 21 2017 grab","water","surface water","marine","1-L grab","sample","San Pablo Bay",NA,"38.0513 ","-122.4218 ","dry",3.333333333,NA,NA,1,NA,50,5000,2,0.15,50.4949494949495,NA,168.316498299667,NA,168.316498299667,NA,NA
"304","Zhu et. al 2021","SPB2 Nov 16 grab","water","surface water","marine","1-L grab","sample","San Pablo Bay",NA,"38.0598 ","-122.4244 ","wet",2.833333333,NA,NA,1,NA,50,5000,2,0.15,50.4949494949495,NA,143.069023552192,NA,143.069023552192,NA,NA
"305","Zhu et. al 2021","SPB3 Aug 22 grab","water","surface water","marine","1-L grab","sample","San Pablo Bay",NA,"38.6405 ","-122.3716 ","dry",5.086071987,NA,NA,1,NA,50,5000,2,0.15,50.4949494949495,NA,256.820948111242,NA,256.820948111242,NA,NA
"306","Zhu et. al 2021","SPB3 Nov 22 grab","water","surface water","marine","1-L grab","sample","San Pablo Bay",NA,"38.0239 ","-122.3682 ","wet",5.243088656,NA,NA,1,NA,50,5000,2,0.15,50.4949494949495,NA,264.749496882263,NA,264.749496882263,NA,NA
"307","Zhu et. al 2021","SUB1 Aug 22 grab","water","surface water","marine","1-L grab","sample","Suisin Bay",NA,"38.1071 ","-122.0563 ","dry",2.764612954,NA,NA,1,NA,50,5000,2,0.15,50.4949494949495,NA,139.598991485313,NA,139.598991485313,NA,NA
"308","Zhu et. al 2021","SUB1 Nov 22 grab","water","surface water","marine","1-L grab","sample","Suisin Bay",NA,"38.1079 ","-122.0570 ","wet",4.427577483,NA,NA,1,NA,50,5000,2,0.15,50.4949494949495,NA,223.570301389061,NA,223.570301389061,NA,NA
