"","names","preds","stderrors","R2","p.values"
"1","SamplWater",-1.77799133650901,0.110675914556618,0.955568592518551,1.76965731274908e-09
"2","Effluent",-1.71353027064091,0.130474560483126,0.93495133675591,1.75878149611446e-08
"3","Runoff",-1.60087308126289,0.11499456464724,0.941691645400907,9.09576769500197e-09
"4","Sediment",-1.57960313600488,0.118222426583428,0.937015758343437,1.4479905838382e-08
