"","diff","lwr","upr","p adj"
"surface water (1-L grab)-stormwater (depth-integrated perisaltic pump)",-1.55176728190562,-3.00595972000291,-0.0975748438083341,0.03155631878009
"surface water (Manta Trawl)-stormwater (depth-integrated perisaltic pump)",-3.79933139508881,-5.21670285827987,-2.38195993189775,7.24586612932399e-10
"wastewater (Composite)-stormwater (depth-integrated perisaltic pump)",-3.78404541666667,-5.48284213633498,-2.08524869699836,2.69877881931002e-07
"surface water (Manta Trawl)-surface water (1-L grab)",-2.24756411318319,-3.10787596155956,-1.38725226480682,1.82360959666283e-09
"wastewater (Composite)-surface water (1-L grab)",-2.23227813476105,-3.50393253220722,-0.960623737314871,6.43915984547272e-05
"wastewater (Composite)-surface water (Manta Trawl)",0.0152859784221393,-1.21409237025382,1.2446643270981,0.999987791474865
