"","matrix","alpha.05","alpha.50","alpha.95","x1M","CF.05","CF.50","CF.95"
"1","fish",1.9205456928834,2.26211510245386,2.60380424158619,25,19.4992328565975,58.1960817578668,174.626543941769
"2","grab",2.02073049681923,2.06982491770199,2.12042008328837,20,21.3540498210741,24.7177778462142,28.745071237043
"3","manta",2.02073049681923,2.06982491770199,2.12042008328837,333,400.780084945393,528.627732935203,703.974810134431
"4","sediment",2.21714203287086,2.89179401229879,3.58620798669846,45,103.178341369174,1341.51662904846,18860.5201474782
"5","stormwater",1.62361320959446,2.9607609457021,4.35097709350655,106,20.0456317745252,9361.98314438537,6120045.35691326
"6","wastewater",2.17740623831875,2.41084733555508,2.6462860217747,110,256.100912121958,762.231621541498,2298.93977973379
